Customer Region,Shipment Mode,Product Category,mean,std,count
Canada,First Class,Accessories,2.0,,1
Canada,First Class,Camping & Hiking,2.0,,1
Canada,First Class,Cardio Equipment,85.0,,1
Canada,First Class,Cleats,6.666666666666667,11.430952132988166,6
Canada,First Class,Electronics,2.0,,1
Canada,First Class,Fishing,2.0,0.0,2
Canada,First Class,Girls' Apparel,2.0,,1
Canada,First Class,Indoor/Outdoor Games,2.0,0.0,4
Canada,First Class,Men's Footwear,42.666666666666664,100.59555987550677,6
Canada,First Class,Shop By Sport,2.0,0.0,2
Canada,First Class,Water Sports,2.0,0.0,3
Canada,First Class,Women's Apparel,2.0,0.0,2
Canada,Same Day,Camping & Hiking,4.0,,1
Canada,Same Day,Cleats,5.0,,1
Canada,Same Day,Fishing,4.0,,1
Canada,Same Day,Indoor/Outdoor Games,31.0,,1
Canada,Same Day,Water Sports,3.5,3.5355339059327378,2
Canada,Second Class,Boxing & MMA,4.0,,1
Canada,Second Class,Camping & Hiking,53.666666666666664,86.90416177222662,3
Canada,Second Class,Cardio Equipment,2.0,,1
Canada,Second Class,Cleats,15.166666666666666,29.32859810264832,6
Canada,Second Class,Fishing,6.0,,1
Canada,Second Class,Golf Balls,2.0,,1
Canada,Second Class,Indoor/Outdoor Games,30.25,32.62284475639732,4
Canada,Second Class,Men's Footwear,44.25,84.5,4
Canada,Second Class,Shop By Sport,2.25,1.707825127659933,4
Canada,Second Class,Tennis & Racquet,2.0,,1
Canada,Second Class,Trade-In,4.0,,1
Canada,Second Class,Water Sports,2.8,1.7888543819998317,5
Canada,Second Class,Women's Apparel,25.428571428571427,27.57932282741996,7
Canada,Standard Class,Accessories,2.0,,1
Canada,Standard Class,Camping & Hiking,49.125,126.43624875802033,8
Canada,Standard Class,Cardio Equipment,30.666666666666668,76.35607375972131,9
Canada,Standard Class,Cleats,59.8235294117647,113.76249123399464,17
Canada,Standard Class,Electronics,4.0,,1
Canada,Standard Class,Fishing,4.625,1.4078859531733592,8
Canada,Standard Class,Golf Balls,3.0,,1
Canada,Standard Class,Golf Shoes,2.0,,1
Canada,Standard Class,Hunting & Shooting,2.0,,1
Canada,Standard Class,Indoor/Outdoor Games,91.08333333333333,136.9594885911579,12
Canada,Standard Class,Men's Footwear,2.7777777777777777,0.97182531580755,9
Canada,Standard Class,Shop By Sport,3.0,2.449489742783178,4
Canada,Standard Class,Trade-In,4.0,,1
Canada,Standard Class,Water Sports,3.6666666666666665,0.5773502691896257,3
Canada,Standard Class,Women's Apparel,33.5,93.22892029272552,20
